seed-> 9607
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/different_examples', input_name='input_lr.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=9607, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='3_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/input_lr/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='21:59:15')
alpha:20
scale 5:[125/1000], errG: -0.034395 ,output.mean(): 0.034395, rec_loss:0.015860
scale 5:[150/1000], errG: -0.084101 ,output.mean(): 0.084101, rec_loss:0.016304
scale 5:[175/1000], errG: -0.141168 ,output.mean(): 0.141168, rec_loss:0.017317
scale 5:[200/1000], errG: 0.090109 ,output.mean(): -0.090109, rec_loss:0.035664
scale 5:[225/1000], errG: 0.126306 ,output.mean(): -0.126306, rec_loss:0.005683
scale 5:[250/1000], errG: 0.030661 ,output.mean(): -0.030661, rec_loss:0.009334
scale 5:[275/1000], errG: -0.162348 ,output.mean(): 0.162348, rec_loss:0.006453
scale 5:[300/1000], errG: -0.158180 ,output.mean(): 0.158180, rec_loss:0.005350
scale 5:[325/1000], errG: -0.228114 ,output.mean(): 0.228114, rec_loss:0.005170
scale 5:[350/1000], errG: -0.175511 ,output.mean(): 0.175511, rec_loss:0.005022
scale 5:[375/1000], errG: -0.250035 ,output.mean(): 0.250035, rec_loss:0.006998
scale 5:[400/1000], errG: -0.255435 ,output.mean(): 0.255435, rec_loss:0.009571
scale 5:[425/1000], errG: -0.245294 ,output.mean(): 0.245294, rec_loss:0.007892
scale 5:[450/1000], errG: -0.348754 ,output.mean(): 0.348754, rec_loss:0.006750
scale 5:[475/1000], errG: -0.328563 ,output.mean(): 0.328563, rec_loss:0.006390
scale 5:[500/1000], errG: -0.410407 ,output.mean(): 0.410407, rec_loss:0.006594
scale 5:[525/1000], errG: -0.463214 ,output.mean(): 0.463214, rec_loss:0.005896
scale 5:[550/1000], errG: -0.517409 ,output.mean(): 0.517409, rec_loss:0.004585
scale 5:[575/1000], errG: -0.413005 ,output.mean(): 0.413005, rec_loss:0.003073
scale 5:[600/1000], errG: -0.495594 ,output.mean(): 0.495594, rec_loss:0.003896
scale 5:[625/1000], errG: -0.510769 ,output.mean(): 0.510769, rec_loss:0.003626
scale 5:[650/1000], errG: -0.540528 ,output.mean(): 0.540528, rec_loss:0.002741
scale 5:[675/1000], errG: -0.526896 ,output.mean(): 0.526896, rec_loss:0.002549
scale 5:[700/1000], errG: -0.562997 ,output.mean(): 0.562997, rec_loss:0.002321
scale 5:[725/1000], errG: -0.565435 ,output.mean(): 0.565435, rec_loss:0.002850
scale 5:[750/1000], errG: -0.592675 ,output.mean(): 0.592675, rec_loss:0.002916
scale 5:[775/1000], errG: -0.601721 ,output.mean(): 0.601721, rec_loss:0.002713
scale 5:[800/1000], errG: -0.627750 ,output.mean(): 0.627750, rec_loss:0.002061
scale 5:[825/1000], errG: -0.690774 ,output.mean(): 0.690774, rec_loss:0.002849
scale 5:[850/1000], errG: -0.711846 ,output.mean(): 0.711846, rec_loss:0.002623
scale 5:[875/1000], errG: -0.761249 ,output.mean(): 0.761249, rec_loss:0.002633
scale 5:[900/1000], errG: -0.753530 ,output.mean(): 0.753530, rec_loss:0.002004
scale 5:[925/1000], errG: -0.733775 ,output.mean(): 0.733775, rec_loss:0.002317
