seed-> 4160
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=4160, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='140.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, threshold=128, train_on_last_scale=0, training_name='', tx='07:07:48')
alpha:20
scale 5:[425/1000], errG: -0.286719 ,output.mean(): 0.286719, rec_loss:0.003498
scale 5:[450/1000], errG: -0.144258 ,output.mean(): 0.144258, rec_loss:0.003084
scale 5:[475/1000], errG: -0.031596 ,output.mean(): 0.031596, rec_loss:0.003784
scale 5:[500/1000], errG: -0.168818 ,output.mean(): 0.168818, rec_loss:0.005846
scale 5:[525/1000], errG: -0.164489 ,output.mean(): 0.164489, rec_loss:0.002530
scale 5:[550/1000], errG: -0.295795 ,output.mean(): 0.295795, rec_loss:0.007293
scale 5:[575/1000], errG: -0.279574 ,output.mean(): 0.279574, rec_loss:0.002828
scale 5:[600/1000], errG: -0.377033 ,output.mean(): 0.377033, rec_loss:0.002518
scale 5:[625/1000], errG: -0.323098 ,output.mean(): 0.323098, rec_loss:0.001809
scale 5:[650/1000], errG: -0.330567 ,output.mean(): 0.330567, rec_loss:0.002390
scale 5:[675/1000], errG: -0.290736 ,output.mean(): 0.290736, rec_loss:0.002099
scale 5:[700/1000], errG: -0.223624 ,output.mean(): 0.223624, rec_loss:0.002088
scale 5:[725/1000], errG: -0.257745 ,output.mean(): 0.257745, rec_loss:0.001998
scale 5:[750/1000], errG: -0.157452 ,output.mean(): 0.157452, rec_loss:0.003744
scale 5:[775/1000], errG: -0.208205 ,output.mean(): 0.208205, rec_loss:0.001952
scale 5:[800/1000], errG: -0.294659 ,output.mean(): 0.294659, rec_loss:0.002171
scale 5:[825/1000], errG: -0.594023 ,output.mean(): 0.594023, rec_loss:0.001885
scale 5:[850/1000], errG: -0.474885 ,output.mean(): 0.474885, rec_loss:0.001676
scale 5:[875/1000], errG: -0.333517 ,output.mean(): 0.333517, rec_loss:0.001520
scale 5:[900/1000], errG: -0.308394 ,output.mean(): 0.308394, rec_loss:0.001972
scale 5:[925/1000], errG: -0.211270 ,output.mean(): 0.211270, rec_loss:0.001559
scale 5:[950/1000], errG: -0.235042 ,output.mean(): 0.235042, rec_loss:0.001819
