seed-> 9367
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/different_examples', input_name='landscape.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=9367, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='3_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/landscape/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='18:29:17')
alpha:20
scale 4:[675/1000], errG: -0.208517 ,output.mean(): 0.208517, rec_loss:0.004230
scale 4:[700/1000], errG: -0.266553 ,output.mean(): 0.266553, rec_loss:0.003519
scale 4:[725/1000], errG: -0.220271 ,output.mean(): 0.220271, rec_loss:0.004033
scale 4:[750/1000], errG: -0.299305 ,output.mean(): 0.299305, rec_loss:0.003869
scale 4:[775/1000], errG: -0.371773 ,output.mean(): 0.371773, rec_loss:0.006001
scale 4:[800/1000], errG: -0.341794 ,output.mean(): 0.341794, rec_loss:0.007164
scale 4:[825/1000], errG: -0.249970 ,output.mean(): 0.249970, rec_loss:0.007543
scale 4:[850/1000], errG: -0.349848 ,output.mean(): 0.349848, rec_loss:0.004538
scale 4:[875/1000], errG: -0.376203 ,output.mean(): 0.376203, rec_loss:0.004725
scale 4:[900/1000], errG: -0.244197 ,output.mean(): 0.244197, rec_loss:0.003787
scale 4:[925/1000], errG: -0.369387 ,output.mean(): 0.369387, rec_loss:0.005478
scale 4:[950/1000], errG: -0.483266 ,output.mean(): 0.483266, rec_loss:0.005129
scale 4:[975/1000], errG: -0.371091 ,output.mean(): 0.371091, rec_loss:0.005082
scale 4:[999/1000], errG: -0.324710 ,output.mean(): 0.324710, rec_loss:0.007215
Scale: 4, realD_loss: 0.000000 
alpha:20
scale 5:[0/1000], errG: -0.269380 ,output.mean(): 0.269380, rec_loss:0.064596
scale 5:[25/1000], errG: -0.195461 ,output.mean(): 0.195461, rec_loss:0.023059
scale 5:[50/1000], errG: -0.258269 ,output.mean(): 0.258269, rec_loss:0.009538
scale 5:[75/1000], errG: -0.129420 ,output.mean(): 0.129420, rec_loss:0.015546
scale 5:[100/1000], errG: -0.188367 ,output.mean(): 0.188367, rec_loss:0.009005
scale 5:[125/1000], errG: -0.269516 ,output.mean(): 0.269516, rec_loss:0.007140
scale 5:[150/1000], errG: -0.220325 ,output.mean(): 0.220325, rec_loss:0.007869
scale 5:[175/1000], errG: -0.223821 ,output.mean(): 0.223821, rec_loss:0.016192
scale 5:[200/1000], errG: -0.366610 ,output.mean(): 0.366610, rec_loss:0.014652
scale 5:[225/1000], errG: -0.470173 ,output.mean(): 0.470173, rec_loss:0.008063
scale 5:[250/1000], errG: -0.457033 ,output.mean(): 0.457033, rec_loss:0.011918
scale 5:[275/1000], errG: -0.361760 ,output.mean(): 0.361760, rec_loss:0.004877
scale 5:[300/1000], errG: -0.233003 ,output.mean(): 0.233003, rec_loss:0.004306
scale 5:[325/1000], errG: -0.321108 ,output.mean(): 0.321108, rec_loss:0.004503
scale 5:[350/1000], errG: -0.221703 ,output.mean(): 0.221703, rec_loss:0.004757
scale 5:[375/1000], errG: -0.253212 ,output.mean(): 0.253212, rec_loss:0.004272
scale 5:[400/1000], errG: -0.255264 ,output.mean(): 0.255264, rec_loss:0.004400
scale 5:[425/1000], errG: -0.198473 ,output.mean(): 0.198473, rec_loss:0.004184
scale 5:[450/1000], errG: -0.199212 ,output.mean(): 0.199212, rec_loss:0.004545
scale 5:[475/1000], errG: -0.128214 ,output.mean(): 0.128214, rec_loss:0.005956
scale 5:[500/1000], errG: 0.025118 ,output.mean(): -0.025118, rec_loss:0.004469
scale 5:[525/1000], errG: -0.177357 ,output.mean(): 0.177357, rec_loss:0.003997
scale 5:[550/1000], errG: -0.392515 ,output.mean(): 0.392515, rec_loss:0.004543
scale 5:[575/1000], errG: -0.241114 ,output.mean(): 0.241114, rec_loss:0.004584
scale 5:[600/1000], errG: -0.315561 ,output.mean(): 0.315561, rec_loss:0.004917
scale 5:[625/1000], errG: -0.140592 ,output.mean(): 0.140592, rec_loss:0.004806
scale 5:[650/1000], errG: -0.069191 ,output.mean(): 0.069191, rec_loss:0.004288
scale 5:[675/1000], errG: -0.148069 ,output.mean(): 0.148069, rec_loss:0.005428
scale 5:[700/1000], errG: -0.101790 ,output.mean(): 0.101790, rec_loss:0.005372
scale 5:[725/1000], errG: 0.161359 ,output.mean(): -0.161359, rec_loss:0.003274
scale 5:[750/1000], errG: 0.340218 ,output.mean(): -0.340218, rec_loss:0.005189
scale 5:[775/1000], errG: -0.148107 ,output.mean(): 0.148107, rec_loss:0.003894
scale 5:[800/1000], errG: -0.041017 ,output.mean(): 0.041017, rec_loss:0.003353
scale 5:[825/1000], errG: 0.078088 ,output.mean(): -0.078088, rec_loss:0.004605
scale 5:[850/1000], errG: 0.317217 ,output.mean(): -0.317217, rec_loss:0.005876
scale 5:[875/1000], errG: 0.332169 ,output.mean(): -0.332169, rec_loss:0.005635
scale 5:[900/1000], errG: 0.290738 ,output.mean(): -0.290738, rec_loss:0.004129
scale 5:[925/1000], errG: 0.244821 ,output.mean(): -0.244821, rec_loss:0.006642
scale 5:[950/1000], errG: 0.389499 ,output.mean(): -0.389499, rec_loss:0.006709
